"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 11 21:43:12 GET 2023","Mon Dec 11 21:43:12 GET 2023","4","Default Suite","Selenium-Tests","POM_Allure","POM_Allure","start","start",""
"passed","Sat Dec 23 14:55:15 GET 2023","Sat Dec 23 14:55:17 GET 2023","2289","Default Suite","SeleniumTestProject","FormTestPOM","FormTestPOM","formTestTest","formTestTest",""
"passed","Sat Dec 23 15:09:56 GET 2023","Sat Dec 23 15:09:58 GET 2023","2149","Default Suite","SeleniumTestProject","DemoQAFormTestPOM","DemoQAFormTestPOM","formTestTest","Filling a demoqa form","Filling a demoqa form"
"passed","Sat Dec 23 01:13:12 GET 2023","Sat Dec 23 01:13:12 GET 2023","32","Surefire suite","Surefire test","DataProviderTest","DataProviderTest","Sum","Sum",""
"passed","Sat Dec 23 14:04:16 GET 2023","Sat Dec 23 14:04:16 GET 2023","1","Default Suite","SeleniumTestProject","FactoryTest","FactoryTest","testMethod","testMethod",""
"passed","Sat Dec 23 01:14:52 GET 2023","Sat Dec 23 01:14:53 GET 2023","1654","Default Suite","Test Automation","POM_Allure","POM_Allure","FillForm","FillForm","Fill practice form"
"passed","Sat Dec 23 01:14:53 GET 2023","Sat Dec 23 01:14:54 GET 2023","33","Default Suite","Test Automation","POM_Allure","POM_Allure","CheckResults","CheckResults","Waits for success dialog and checks submitted data"
"passed","Sat Dec 23 01:13:12 GET 2023","Sat Dec 23 01:13:12 GET 2023","1","Surefire suite","Surefire test","DataProviderTest","DataProviderTest","testMethod","testMethod",""
"passed","Sat Dec 23 01:14:51 GET 2023","Sat Dec 23 01:14:52 GET 2023","431","Default Suite","Test Automation","POM_Allure","POM_Allure","GoToForm","GoToForm","Go to form page"
"passed","Sat Dec 23 01:13:12 GET 2023","Sat Dec 23 01:13:12 GET 2023","1","Surefire suite","Surefire test","DataProviderTest","DataProviderTest","Sum","Sum",""
"passed","Sat Dec 23 01:13:12 GET 2023","Sat Dec 23 01:13:12 GET 2023","0","Surefire suite","Surefire test","DataProviderTest","DataProviderTest","testMethod","testMethod",""
